idx,material,kind,struct,stratum,left,right,choice,chosen,ms,pair
0,hardened clay stained green,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1918,p029
1,crimson hyphae wood,real,0,16px,B2,TRD16c_rr4,left,B2,902,p039
2,mineral iron,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1181,p062
3,hardened clay stained orange,check,0,16px,blur,good,tie,tie,2691,
4,warped hyphae wood,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1225,p076
5,stone brick,real,0,16px,B2,TRD16c_rr4,left,B2,4241,p042
6,grass path side,check,0,16px,good,blur,left,good,978,
7,pine tree,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,2471,p071
8,desert sandstone,real,0,16px,B2,TRD16c_rr4,left,B2,2566,p083
9,hardened clay stained green,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,10078,p029
10,mushrooms mushroom block skin stem,check_same,0,16px,same,same,left,same,910,s000
11,sandstone carved,real,0,16px,TRD16c_rr4,B2,right,B2,6533,p056
12,cherry blossom log,real,0,16px,B2,TRD16c_rr4,left,B2,1659,p023
13,ctf map damage cobble,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1923,p030
14,coral skeleton,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1224,p082
15,river water,real,0,16px,B2,TRD16c_rr4,left,B2,6734,p000
16,wool dark green,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1118,p087
17,copper block raw,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,800,p016
18,emerald ore,check_same,0,16px,same,same,left,same,1328,s002
19,sandstone carved,real,0,16px,B2,TRD16c_rr4,left,B2,1432,p056
20,crimson hyphae wood,real,0,16px,TRD16c_rr4,B2,right,B2,1150,p039
21,nether quartz ore,real,0,16px,TRD16c_rr4,B2,tie,tie,3165,p012
22,bamboo bamboo plank mosaic,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,5414,p013
23,wool blue,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1340,p021
24,grass path side,check_same,0,16px,same,same,left,same,1341,s004
25,desert sandstone,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,2497,p083
26,pine tree,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,3611,p071
27,warped hyphae wood,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,955,p076
28,brass block,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1193,p073
29,quartz pillar top,check_same,0,16px,same,same,left,same,751,s001
30,log spruce,check,0,16px,blur,good,tie,tie,1959,
31,copper block raw,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1804,p016
32,wool dark green,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,2098,p087
33,ctf map damage cobble,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,2348,p030
34,ctf map damage cobble,check_same,0,16px,same,same,right,same,1123,s003
35,mushrooms mushroom block skin stem,real,0,16px,TRD16c_rr4,B2,right,B2,2715,p032
36,grass block top,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1093,p055
37,stone brick,real,0,16px,TRD16c_rr4,B2,right,B2,1567,p042
38,wool white,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1595,p037
39,coral skeleton,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,956,p082
40,mushrooms mushroom block skin stem,real,0,16px,B2,TRD16c_rr4,left,B2,1885,p032
41,brass block,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1066,p073
42,wool white,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,3047,p037
43,baked clay cyan,check,0,16px,good,blur,left,good,1004,
44,river water,real,0,16px,TRD16c_rr4,B2,right,B2,1426,p000
45,wool blue,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,785,p021
46,baked clay grey,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,2801,p028
47,nether brick,real,0,16px,B2,TRD16c_rr4,left,B2,1726,p067
48,nether soul sand,real,0,16px,TRD16c_rr4,B2,tie,tie,2674,p035
49,mineral iron,check,0,16px,good,blur,left,good,815,
50,grass block top,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,2109,p055
51,sandstone,real,0,16px,TRD16c_rr4,B2,right,B2,2121,p008
52,dirt podzol side,real,0,16px,TRD16c_rr4,B2,tie,tie,2984,p045
53,nether brick,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,2272,p067
54,sandstone,real,0,16px,B2,TRD16c_rr4,left,B2,2843,p008
55,mineral iron,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1174,p062
56,bamboo bamboo plank mosaic,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,1670,p013
57,dirt podzol side,real,0,16px,B2,TRD16c_rr4,right,TRD16c_rr4,3923,p045
58,nether soul sand,real,0,16px,B2,TRD16c_rr4,tie,tie,1828,p035
59,nether quartz ore,real,0,16px,B2,TRD16c_rr4,tie,tie,3458,p012
60,cherry blossom log,real,0,16px,TRD16c_rr4,B2,right,B2,1295,p023
61,baked clay grey,real,0,16px,TRD16c_rr4,B2,left,TRD16c_rr4,1806,p028
